05/10/2019 03:13:57 PM INFO    : Predicting one face using svm model took 0.0003178119659423828 seconds.
05/10/2019 03:13:57 PM INFO    : Predicting one face using svm model took 0.00021195411682128906 seconds.
05/10/2019 03:13:57 PM INFO    : Predicting one face using svm model took 0.00019478797912597656 seconds.
05/10/2019 03:13:58 PM INFO    : Predicting one face using svm model took 0.0001919269561767578 seconds.
05/10/2019 03:13:58 PM INFO    : Predicting one face using svm model took 0.0002040863037109375 seconds.
05/10/2019 03:13:58 PM INFO    : Predicting one face using svm model took 0.00026798248291015625 seconds.
05/10/2019 03:13:59 PM INFO    : Predicting one face using svm model took 0.00023603439331054688 seconds.
05/10/2019 03:13:59 PM INFO    : Predicting one face using svm model took 0.00025391578674316406 seconds.
05/10/2019 03:14:00 PM INFO    : Predicting one face using svm model took 0.0002040863037109375 seconds.
05/10/2019 03:14:00 PM INFO    : Predicting one face using svm model took 0.0002429485321044922 seconds.
05/10/2019 03:14:00 PM INFO    : Predicting one face using svm model took 0.00042319297790527344 seconds.
05/10/2019 03:14:01 PM INFO    : Predicting one face using svm model took 0.00019407272338867188 seconds.
05/10/2019 03:18:25 PM INFO    : Predicting one face using svm model took 0.0002951622009277344 seconds.
05/10/2019 03:18:26 PM INFO    : Predicting one face using svm model took 0.0002732276916503906 seconds.
05/10/2019 03:18:26 PM INFO    : Predicting one face using svm model took 0.00018525123596191406 seconds.
05/10/2019 03:18:26 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:18:26 PM INFO    : Predicting one face using svm model took 0.0003249645233154297 seconds.
05/10/2019 03:18:27 PM INFO    : Predicting one face using svm model took 0.0001862049102783203 seconds.
05/10/2019 03:18:27 PM INFO    : Predicting one face using svm model took 0.00019598007202148438 seconds.
05/10/2019 03:18:27 PM INFO    : Predicting one face using svm model took 0.0002071857452392578 seconds.
05/10/2019 03:18:27 PM INFO    : Predicting one face using svm model took 0.00021505355834960938 seconds.
05/10/2019 03:18:28 PM INFO    : Predicting one face using svm model took 0.00022101402282714844 seconds.
05/10/2019 03:18:28 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
05/10/2019 03:18:28 PM INFO    : Predicting one face using svm model took 0.0002181529998779297 seconds.
05/10/2019 03:18:29 PM INFO    : Predicting one face using svm model took 0.00019407272338867188 seconds.
05/10/2019 03:18:29 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:18:29 PM INFO    : Predicting one face using svm model took 0.00018286705017089844 seconds.
05/10/2019 03:18:30 PM INFO    : Predicting one face using svm model took 0.0001952648162841797 seconds.
05/10/2019 03:18:30 PM INFO    : Predicting one face using svm model took 0.00021791458129882812 seconds.
05/10/2019 03:18:30 PM INFO    : Predicting one face using svm model took 0.00023603439331054688 seconds.
05/10/2019 03:18:30 PM INFO    : Predicting one face using svm model took 0.00020933151245117188 seconds.
05/10/2019 03:18:31 PM INFO    : Predicting one face using svm model took 0.0002110004425048828 seconds.
05/10/2019 03:18:31 PM INFO    : Predicting one face using svm model took 0.00019311904907226562 seconds.
05/10/2019 03:18:31 PM INFO    : Predicting one face using svm model took 0.00020694732666015625 seconds.
05/10/2019 03:18:31 PM INFO    : Predicting one face using svm model took 0.0003781318664550781 seconds.
05/10/2019 03:18:32 PM INFO    : Predicting one face using svm model took 0.000308990478515625 seconds.
05/10/2019 03:18:32 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
05/10/2019 03:18:32 PM INFO    : Predicting one face using svm model took 0.00019812583923339844 seconds.
05/10/2019 03:18:32 PM INFO    : Predicting one face using svm model took 0.00023293495178222656 seconds.
05/10/2019 03:18:33 PM INFO    : Predicting one face using svm model took 0.00020503997802734375 seconds.
05/10/2019 03:18:33 PM INFO    : Predicting one face using svm model took 0.0002548694610595703 seconds.
05/10/2019 03:18:33 PM INFO    : Predicting one face using svm model took 0.00018930435180664062 seconds.
05/10/2019 03:18:34 PM INFO    : Predicting one face using svm model took 0.00018286705017089844 seconds.
05/10/2019 03:18:34 PM INFO    : Predicting one face using svm model took 0.0003209114074707031 seconds.
05/10/2019 03:18:34 PM INFO    : Predicting one face using svm model took 0.00019621849060058594 seconds.
05/10/2019 03:18:35 PM INFO    : Predicting one face using svm model took 0.00019884109497070312 seconds.
05/10/2019 03:18:35 PM INFO    : Predicting one face using svm model took 0.00018167495727539062 seconds.
05/10/2019 03:18:35 PM INFO    : Predicting one face using svm model took 0.00019288063049316406 seconds.
05/10/2019 03:18:35 PM INFO    : Predicting one face using svm model took 0.00019311904907226562 seconds.
05/10/2019 03:18:36 PM INFO    : Predicting one face using svm model took 0.0001881122589111328 seconds.
05/10/2019 03:18:36 PM INFO    : Predicting one face using svm model took 0.0001881122589111328 seconds.
05/10/2019 03:18:36 PM INFO    : Predicting one face using svm model took 0.0001850128173828125 seconds.
05/10/2019 03:18:36 PM INFO    : Predicting one face using svm model took 0.00018405914306640625 seconds.
05/10/2019 03:18:37 PM INFO    : Predicting one face using svm model took 0.0002110004425048828 seconds.
05/10/2019 03:18:37 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:18:37 PM INFO    : Predicting one face using svm model took 0.0001881122589111328 seconds.
05/10/2019 03:18:37 PM INFO    : Predicting one face using svm model took 0.00019502639770507812 seconds.
05/10/2019 03:18:38 PM INFO    : Predicting one face using svm model took 0.0002071857452392578 seconds.
05/10/2019 03:18:38 PM INFO    : Predicting one face using svm model took 0.0001862049102783203 seconds.
05/10/2019 03:18:38 PM INFO    : Predicting one face using svm model took 0.00018715858459472656 seconds.
05/10/2019 03:18:39 PM INFO    : Predicting one face using svm model took 0.0001957416534423828 seconds.
05/10/2019 03:18:39 PM INFO    : Predicting one face using svm model took 0.0001819133758544922 seconds.
05/10/2019 03:18:39 PM INFO    : Predicting one face using svm model took 0.00018310546875 seconds.
05/10/2019 03:18:39 PM INFO    : Predicting one face using svm model took 0.00019693374633789062 seconds.
05/10/2019 03:18:40 PM INFO    : Predicting one face using svm model took 0.00019693374633789062 seconds.
05/10/2019 03:18:40 PM INFO    : Predicting one face using svm model took 0.00019598007202148438 seconds.
05/10/2019 03:18:40 PM INFO    : Predicting one face using svm model took 0.0002040863037109375 seconds.
05/10/2019 03:18:41 PM INFO    : Predicting one face using svm model took 0.00020194053649902344 seconds.
05/10/2019 03:18:41 PM INFO    : Predicting one face using svm model took 0.0002009868621826172 seconds.
05/10/2019 03:18:41 PM INFO    : Predicting one face using svm model took 0.0002257823944091797 seconds.
05/10/2019 03:18:41 PM INFO    : Predicting one face using svm model took 0.0002079010009765625 seconds.
05/10/2019 03:18:42 PM INFO    : Predicting one face using svm model took 0.0001819133758544922 seconds.
05/10/2019 03:18:42 PM INFO    : Predicting one face using svm model took 0.0001919269561767578 seconds.
05/10/2019 03:18:42 PM INFO    : Predicting one face using svm model took 0.00019788742065429688 seconds.
05/10/2019 03:18:43 PM INFO    : Predicting one face using svm model took 0.00020313262939453125 seconds.
05/10/2019 03:18:43 PM INFO    : Predicting one face using svm model took 0.00023984909057617188 seconds.
05/10/2019 03:18:44 PM INFO    : Predicting one face using svm model took 0.00020623207092285156 seconds.
05/10/2019 03:18:44 PM INFO    : Predicting one face using svm model took 0.000286102294921875 seconds.
05/10/2019 03:18:44 PM INFO    : Predicting one face using svm model took 0.00018906593322753906 seconds.
05/10/2019 03:18:45 PM INFO    : Predicting one face using svm model took 0.00018906593322753906 seconds.
05/10/2019 03:18:45 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
05/10/2019 03:18:45 PM INFO    : Predicting one face using svm model took 0.00020384788513183594 seconds.
05/10/2019 03:18:46 PM INFO    : Predicting one face using svm model took 0.00019097328186035156 seconds.
05/10/2019 03:18:46 PM INFO    : Predicting one face using svm model took 0.00019288063049316406 seconds.
05/10/2019 03:18:46 PM INFO    : Predicting one face using svm model took 0.00018525123596191406 seconds.
05/10/2019 03:18:47 PM INFO    : Predicting one face using svm model took 0.0001862049102783203 seconds.
05/10/2019 03:18:47 PM INFO    : Predicting one face using svm model took 0.0001900196075439453 seconds.
05/10/2019 03:18:47 PM INFO    : Predicting one face using svm model took 0.0001850128173828125 seconds.
05/10/2019 03:18:47 PM INFO    : Predicting one face using svm model took 0.00018906593322753906 seconds.
05/10/2019 03:18:48 PM INFO    : Predicting one face using svm model took 0.00020599365234375 seconds.
05/10/2019 03:18:48 PM INFO    : Predicting one face using svm model took 0.00019097328186035156 seconds.
05/10/2019 03:18:48 PM INFO    : Predicting one face using svm model took 0.00019311904907226562 seconds.
05/10/2019 03:18:48 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
05/10/2019 03:18:49 PM INFO    : Predicting one face using svm model took 0.00018477439880371094 seconds.
05/10/2019 03:18:49 PM INFO    : Predicting one face using svm model took 0.00018310546875 seconds.
05/10/2019 03:18:49 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:18:49 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:18:50 PM INFO    : Predicting one face using svm model took 0.00020575523376464844 seconds.
05/10/2019 03:18:50 PM INFO    : Predicting one face using svm model took 0.00018215179443359375 seconds.
05/10/2019 03:18:50 PM INFO    : Predicting one face using svm model took 0.0002148151397705078 seconds.
05/10/2019 03:18:51 PM INFO    : Predicting one face using svm model took 0.00018715858459472656 seconds.
05/10/2019 03:18:51 PM INFO    : Predicting one face using svm model took 0.0005180835723876953 seconds.
05/10/2019 03:18:51 PM INFO    : Predicting one face using svm model took 0.00019884109497070312 seconds.
05/10/2019 03:18:51 PM INFO    : Predicting one face using svm model took 0.0001900196075439453 seconds.
05/10/2019 03:18:52 PM INFO    : Predicting one face using svm model took 0.00018405914306640625 seconds.
05/10/2019 03:18:52 PM INFO    : Predicting one face using svm model took 0.00019621849060058594 seconds.
05/10/2019 03:18:52 PM INFO    : Predicting one face using svm model took 0.00020265579223632812 seconds.
05/10/2019 03:18:53 PM INFO    : Predicting one face using svm model took 0.0002028942108154297 seconds.
05/10/2019 03:18:53 PM INFO    : Predicting one face using svm model took 0.0002579689025878906 seconds.
05/10/2019 03:18:53 PM INFO    : Predicting one face using svm model took 0.0002002716064453125 seconds.
05/10/2019 03:18:54 PM INFO    : Predicting one face using svm model took 0.00019621849060058594 seconds.
05/10/2019 03:18:54 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:18:54 PM INFO    : Predicting one face using svm model took 0.00019693374633789062 seconds.
05/10/2019 03:18:55 PM INFO    : Predicting one face using svm model took 0.00020313262939453125 seconds.
05/10/2019 03:18:56 PM INFO    : Predicting one face using svm model took 0.00019812583923339844 seconds.
05/10/2019 03:18:56 PM INFO    : Predicting one face using svm model took 0.00021696090698242188 seconds.
05/10/2019 03:18:56 PM INFO    : Predicting one face using svm model took 0.00020313262939453125 seconds.
05/10/2019 03:18:56 PM INFO    : Predicting one face using svm model took 0.00019621849060058594 seconds.
05/10/2019 03:18:57 PM INFO    : Predicting one face using svm model took 0.0001881122589111328 seconds.
05/10/2019 03:18:57 PM INFO    : Predicting one face using svm model took 0.00021409988403320312 seconds.
05/10/2019 03:19:00 PM INFO    : Predicting one face using svm model took 0.0001888275146484375 seconds.
05/10/2019 03:19:00 PM INFO    : Predicting one face using svm model took 0.00023984909057617188 seconds.
05/10/2019 03:19:01 PM INFO    : Predicting one face using svm model took 0.00026607513427734375 seconds.
05/10/2019 03:19:01 PM INFO    : Predicting one face using svm model took 0.00018215179443359375 seconds.
05/10/2019 03:19:01 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:19:02 PM INFO    : Predicting one face using svm model took 0.00025081634521484375 seconds.
05/10/2019 03:19:02 PM INFO    : Predicting one face using svm model took 0.0001990795135498047 seconds.
05/10/2019 03:19:02 PM INFO    : Predicting one face using svm model took 0.0001919269561767578 seconds.
05/10/2019 03:19:03 PM INFO    : Predicting one face using svm model took 0.00020623207092285156 seconds.
05/10/2019 03:19:03 PM INFO    : Predicting one face using svm model took 0.0002300739288330078 seconds.
05/10/2019 03:19:03 PM INFO    : Predicting one face using svm model took 0.00019598007202148438 seconds.
05/10/2019 03:19:04 PM INFO    : Predicting one face using svm model took 0.0002079010009765625 seconds.
05/10/2019 03:19:05 PM INFO    : Predicting one face using svm model took 0.00018405914306640625 seconds.
05/10/2019 03:19:09 PM INFO    : Predicting one face using svm model took 0.00018405914306640625 seconds.
05/10/2019 03:19:10 PM INFO    : Predicting one face using svm model took 0.0005218982696533203 seconds.
05/10/2019 03:19:10 PM INFO    : Predicting one face using svm model took 0.00021004676818847656 seconds.
05/10/2019 03:19:11 PM INFO    : Predicting one face using svm model took 0.00019097328186035156 seconds.
05/10/2019 03:19:11 PM INFO    : Predicting one face using svm model took 0.00020384788513183594 seconds.
05/10/2019 03:19:11 PM INFO    : Predicting one face using svm model took 0.00024175643920898438 seconds.
05/10/2019 03:19:12 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:19:13 PM INFO    : Predicting one face using svm model took 0.00029277801513671875 seconds.
05/10/2019 03:19:13 PM INFO    : Predicting one face using svm model took 0.00021719932556152344 seconds.
05/10/2019 03:19:13 PM INFO    : Predicting one face using svm model took 0.00022292137145996094 seconds.
05/10/2019 03:19:14 PM INFO    : Predicting one face using svm model took 0.0002892017364501953 seconds.
05/10/2019 03:19:14 PM INFO    : Predicting one face using svm model took 0.00021195411682128906 seconds.
05/10/2019 03:19:14 PM INFO    : Predicting one face using svm model took 0.00019216537475585938 seconds.
05/10/2019 03:19:15 PM INFO    : Predicting one face using svm model took 0.0001952648162841797 seconds.
05/10/2019 03:19:15 PM INFO    : Predicting one face using svm model took 0.0002791881561279297 seconds.
05/10/2019 03:19:16 PM INFO    : Predicting one face using svm model took 0.0002243518829345703 seconds.
05/10/2019 03:19:16 PM INFO    : Predicting one face using svm model took 0.0001819133758544922 seconds.
05/10/2019 03:19:16 PM INFO    : Predicting one face using svm model took 0.00018405914306640625 seconds.
05/10/2019 03:19:17 PM INFO    : Predicting one face using svm model took 0.0001819133758544922 seconds.
05/10/2019 03:19:17 PM INFO    : Predicting one face using svm model took 0.00022482872009277344 seconds.
05/10/2019 03:19:17 PM INFO    : Predicting one face using svm model took 0.0001838207244873047 seconds.
